Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17264707,Pastorala americană,Philip Roth,"Roth, Philip",Alexandra Coliban,"=""9734614673""","=""9789734614677""",0,3.94,Polirom ,Paperback,584,2009,1997,,2020/03/02,to-read,to-read (#42),to-read,,,,0,0
11588,"The Shining (The Shining, #1)",Stephen King,"King, Stephen",,"=""0450040186""","=""9780450040184""",0,4.27,New English Library (Hodder & Stoughton) ,Paperback,497,1980,1977,,2020/03/02,to-read,to-read (#41),to-read,,,,0,0
16130549,"Doctor Sleep (The Shining, #2)",Stephen King,"King, Stephen",,"=""1476727651""","=""9781476727653""",0,4.13,Scribner,Hardcover,531,2013,2013,,2020/03/02,to-read,to-read (#40),to-read,,,,0,0
48664979,Străinul,Stephen King,"King, Stephen",,"=""""","=""""",0,4.01,Armada,Paperback,704,2019,2018,,2020/03/02,to-read,to-read (#39),to-read,,,,0,0
43660507,Frumoasele adormite,Stephen King,"King, Stephen","Owen King, Ruxandra Toma","=""""","=""""",0,3.73,Nemira Publishing House,Paperback,840,2018,2017,,2020/03/02,to-read,to-read (#38),to-read,,,,0,0
830502,It,Stephen King,"King, Stephen",,"=""0450411435""","=""9780450411434""",0,4.24,New English Library,Paperback,1168,1987,1986,,2020/03/02,to-read,to-read (#37),to-read,,,,0,0
12888470,Conspiraţia,Dan       Brown,"Brown, Dan",Bogdan Nicolae Marchidianu,"=""9735766566""","=""9786068255262""",0,3.75,Rao,Hardcover,512,2007,2001,,2020/03/02,to-read,to-read (#36),to-read,,,,0,0
13364555,Fortăreaţa digitală,Dan       Brown,"Brown, Dan",Bogdan Nicolae Marchidanu,"=""9735400634""","=""9789735400637""",0,3.69,Rao,Paperback,448,2009,1998,,2020/03/02,to-read,to-read (#35),to-read,,,,0,0
36685553,Origini,Dan       Brown,"Brown, Dan",,"=""6068905497""","=""9786068905495""",0,3.89,Rao,Hardcover,530,2017,2017,,2020/03/02,to-read,to-read (#34),to-read,,,,0,0
17212231,"Inferno (Robert Langdon, #4)",Dan       Brown,"Brown, Dan",,"=""0385538170""","=""9780385538176""",0,3.88,Doubleday,Hardcover,463,2013,2013,,2020/03/02,to-read,to-read (#33),to-read,,,,0,0
